ID,speaker,utterance,stopper_decision,reason_for_stopping
T15-I1-V1-E1,Parent,"Hey, buddy, I was thinking it might be a good time to chat about something important—consent. It’s all about making sure everyone feels comfortable and respected in any situation. What do you think about that?",,
T15-I1-V1-E2,Child,"Ugh, do we have to talk about this right now?",continue,
T15-I1-V1-E3,Parent,"I get it, it might not be the most fun topic, but it's really important. Consent is all about making sure we’re always respecting others and ourselves. How about we just chat for a few minutes, and you can ask me anything if you're curious?",,
T15-I1-V1-E4,Child,"Fine, but can't we talk about it later? I'm kinda busy right now.",continue,
T15-I1-V1-E5,Parent,"I totally understand you're busy, so let's keep it quick. Just remember, consent is like a mutual agreement where everyone involved feels good about what's happening. It's super important because it helps build trust and respect. We can chat more about it when you have some time. Sound good?",,
T15-I1-V1-E6,Child,"Okay, but can we just do this later? I really gotta finish this game.",continue,
T15-I1-V1-E7,Parent,"Alright, how about this—when you're done with your game, just let me know and we can chat for a few minutes. It's just really key to know that consent is about making sure everyone is on the same page and feeling comfortable. It's like checking in with someone to make sure they're good with what's happening. We'll talk more when you're ready.",,
T15-I1-V1-E8,Child,"Yeah, okay, whatever. I'll let you know later.",stop: child disengagement,The child has disengaged in three separate responses by expressing a desire to delay the conversation and focus on their game.
T15-I1-V2-E1,Parent,"Hey, I was thinking we haven't really talked much about relationships and how important it is to make sure everything is mutual and agreed upon, like consent. Do you want to chat about it a bit?",,
T15-I1-V2-E2,Child,"Ugh, do we really have to? Can we talk about it later?",continue,
T15-I1-V2-E3,Parent,"I get it, it might feel awkward or boring, but it’s really important. Understanding consent is a big part of having healthy and respectful relationships. How about we just chat for a few minutes now, and then you can ask me questions or we can talk more later if you want?",,
T15-I1-V2-E4,Child,"Fine, but can we keep it quick? I kinda have other things to do.",continue,
T15-I1-V2-E5,Parent,"Alright, let's keep it quick. So, the main thing about consent is that it's all about making sure everyone involved is comfortable and agrees to what's happening. It's really important that both people say yes and feel okay about it. If someone isn't sure or says no, then it's not okay to go ahead. Does that make sense so far?",,
T15-I1-V2-E6,Child,"Yeah, I guess that makes sense. Can I go now?",continue,
T15-I1-V2-E7,Parent,"Okay, you can go in a moment. Just remember, consent isn't just about saying yes or no in big situations. It's also important in everyday things, like borrowing someone's stuff or respecting personal space. It’s about making sure everyone feels respected. If you ever have questions or want to talk more, I'm here for that. Alright, go ahead with your day, and thanks for listening!",,
T15-I1-V2-E8,Child,"Okay, thanks. Bye.",stop: goal met,"The parent successfully conveyed the importance of consent, covered key points, and the child acknowledged understanding, fulfilling the conversation's goal."
T15-I1-V3-E1,Parent,"Hey, buddy. I was thinking about how important it is to understand consent, especially as you start dating and forming relationships. It’s all about making sure everyone is comfortable and on the same page. Do you know what I mean?",,
T15-I1-V3-E2,Child,"Uh, yeah, sure, whatever.",continue,
T15-I1-V3-E3,Parent,"I know it might feel a bit awkward to talk about, but understanding consent is really important. It's basically about respecting each other’s boundaries and making sure everyone involved is okay with what's happening. Does that make sense?",,
T15-I1-V3-E4,Child,"Okay, can I go now?",continue,
T15-I1-V3-E5,Parent,"I get that you want to move on, but it's really important to me that you understand this. How about we just chat a little bit more? Consent isn't just about saying 'yes' or 'no.' It's also about feeling safe and respected in any situation. Does that make sense to you?",,
T15-I1-V3-E6,Child,Can we talk about this later? I've got stuff to do.,continue,
T15-I1-V3-E7,Parent,"I understand you're busy, but let's just take a couple more minutes. Consent is about making sure both people are on the same page and feel good about what's happening. It's like checking in with each other, just like you would in any team activity. Sound okay?",,
T15-I1-V3-E8,Child,"Ugh, fine, I get it. Can we please talk later?",continue,
T15-I1-V3-E9,Parent,"Alright, I appreciate you hanging in there. Just remember, consent is ongoing, meaning you should always be checking in with the other person, even if you’ve already talked about it before. It’s like making sure everyone’s still comfortable and happy with what’s going on. We can leave it here for now, and we’ll chat more when you’re ready, okay?",,
T15-I1-V3-E10,Child,"Okay, got it. Later.",stop: child disengagement,The child has shown disengagement in at least three separate responses by asking to talk later and expressing a desire to end the conversation.
T15-I1-V4-E1,Parent,"Hey buddy, I was thinking about something important today. You know, as you grow older, it's good to start understanding how we all need to respect each other's boundaries. Have you heard about what consent means?",,
T15-I1-V4-E2,Child,"Uh, yeah, I guess. Can I go play now?",continue,
T15-I1-V4-E3,Parent,"Sure, you can go play soon. I just wanted to have a quick chat about this. Consent is like when you're playing a game, and you ask if everyone wants to join or if they're okay with the rules. It's important to make sure everyone is comfortable and happy with what's happening. Does that make sense?",,
T15-I1-V4-E4,Child,"Okay, I get it. Can I go now?",continue,
